ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
secret identity,bad characters,brown eyes,grey hair,male characters,living characters,27.0,2001.0,bad,light,dark,male,living
secret identity,bad characters,blue eyes,blond hair,male characters,deceased characters,27.0,1999.0,bad,light,light,male,deceased
public identity,bad characters,brown eyes,black hair,female characters,living characters,27.0,1997.0,bad,dark,dark,female,living
public identity,good characters,black eyes,brown hair,male characters,living characters,27.0,1995.0,good,dark,dark,male,living
secret identity,good characters,brown eyes,black hair,male characters,living characters,27.0,1993.0,good,dark,dark,male,living
public identity,good characters,unknown,grey hair,male characters,living characters,27.0,1993.0,good,light,unknown,male,living
public identity,good characters,brown eyes,red hair,female characters,living characters,27.0,1990.0,good,dark,dark,female,living
secret identity,neutral characters,violet eyes,violet hair,female characters,deceased characters,27.0,1988.0,neutral,light,light,female,deceased
secret identity,good characters,blue eyes,black hair,female characters,living characters,27.0,1987.0,good,dark,light,female,living
identity unknown,good characters,unknown,black hair,female characters,deceased characters,27.0,1987.0,good,dark,unknown,female,deceased
public identity,good characters,brown eyes,brown hair,female characters,living characters,27.0,1987.0,good,dark,dark,female,living
public identity,bad characters,unknown,red hair,male characters,living characters,27.0,1986.0,bad,dark,unknown,male,living
public identity,good characters,blue eyes,red hair,female characters,living characters,27.0,1986.0,good,dark,light,female,living
public identity,good characters,green eyes,brown hair,male characters,deceased characters,27.0,1985.0,good,dark,light,male,deceased
public identity,good characters,unknown,blond hair,female characters,living characters,27.0,1984.0,good,light,unknown,female,living
public identity,bad characters,red eyes,black hair,male characters,deceased characters,27.0,1983.0,bad,dark,others,male,deceased
public identity,unknown,orange eyes,unknown,male characters,living characters,27.0,1983.0,unknown,unknown,light,male,living
public identity,bad characters,black eyes,black hair,female characters,living characters,27.0,1982.0,bad,dark,dark,female,living
public identity,bad characters,brown eyes,white hair,male characters,living characters,27.0,1977.0,bad,light,dark,male,living
secret identity,neutral characters,unknown,unknown,male characters,living characters,27.0,1972.0,neutral,unknown,unknown,male,living
identity unknown,good characters,unknown,brown hair,male characters,living characters,27.0,1971.0,good,dark,unknown,male,living
secret identity,good characters,black eyes,unknown,male characters,living characters,27.0,1971.0,good,unknown,dark,male,living
public identity,good characters,unknown,unknown,male characters,living characters,27.0,1967.0,good,unknown,unknown,male,living
identity unknown,good characters,unknown,blond hair,female characters,living characters,27.0,1966.0,good,light,unknown,female,living
secret identity,bad characters,blue eyes,black hair,male characters,living characters,27.0,1962.0,bad,dark,light,male,living
public identity,unknown,brown eyes,brown hair,male characters,deceased characters,27.0,1960.0,unknown,dark,dark,male,deceased
public identity,good characters,photocellular eyes,unknown,female characters,living characters,27.0,1960.0,good,unknown,others,female,living
public identity,good characters,unknown,brown hair,male characters,deceased characters,27.0,1942.0,good,dark,unknown,male,deceased
public identity,good characters,brown eyes,unknown,male characters,living characters,27.0,1938.0,good,unknown,dark,male,living
secret identity,good characters,unknown,brown hair,male characters,deceased characters,26.0,2006.0,good,dark,unknown,male,deceased
secret identity,bad characters,unknown,unknown,male characters,deceased characters,26.0,2006.0,bad,unknown,unknown,male,deceased
secret identity,good characters,brown eyes,unknown,male characters,living characters,26.0,2006.0,good,unknown,dark,male,living
secret identity,good characters,brown eyes,brown hair,female characters,deceased characters,26.0,2004.0,good,dark,dark,female,deceased
secret identity,good characters,brown eyes,blond hair,female characters,deceased characters,26.0,2001.0,good,light,dark,female,deceased
public identity,neutral characters,unknown,unknown,female characters,living characters,26.0,1998.0,neutral,unknown,unknown,female,living
public identity,good characters,green eyes,unknown,female characters,deceased characters,26.0,1997.0,good,unknown,light,female,deceased
public identity,neutral characters,unknown,white hair,male characters,deceased characters,26.0,1996.0,neutral,light,unknown,male,deceased
secret identity,good characters,brown eyes,brown hair,female characters,living characters,26.0,1994.0,good,dark,dark,female,living
secret identity,good characters,brown eyes,black hair,female characters,living characters,26.0,1994.0,good,dark,dark,female,living
public identity,good characters,brown eyes,brown hair,male characters,living characters,26.0,1993.0,good,dark,dark,male,living
identity unknown,unknown,unknown,grey hair,female characters,living characters,26.0,1993.0,unknown,light,unknown,female,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,26.0,1991.0,good,light,light,male,deceased
public identity,good characters,blue eyes,white hair,female characters,living characters,26.0,1988.0,good,light,light,female,living
